Parts,Speed - Land,Speed - Water,Speed - Air,Speed - Anti-G,Acceleration,Weight,Handling - Land,Handling - Water,Handling - Air,Handling - Anti-G,Off-Road Traction,Mini Turbo,Invincibility
Roller / Azure Roller,0.0,3.0,3.0,0.0,6.0,0.0,4.0,4.0,4.0,4.0,4.0,6.0,0.0
Button / Leaf Tires,1.0,2.0,2.0,2.0,5.0,0.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0
Cushion,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,6.0,5.0,6.0
Sponge,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,6.0,5.0,4.0
GLA Tires,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0
Standard / Blue Standard,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0
Slim / Wood / Crimson Slim,3.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,5.0
Monster / Hot Monster,3.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,7.0,3.0,6.0
Ancient Tires,3.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,1.0,0.0,7.0,3.0,5.0
Off-Road / Retro Off-Road / Triforce Tires,3.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,6.0,3.0,6.0
Metal,4.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,6.0
Gold Tires,4.0,3.0,2.0,1.0,0.0,4.0,2.0,2.0,0.0,1.0,2.0,2.0,5.0
Slick / Cyber Slick,4.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,5.0
